Year,1,2,3,4,5,6,7,8,9,10,11,12
449,30,30,29,30,29,30,30,29,30,29,29,30
450,29,30,29,30,30,30,29,30,29,30,29,29
451,30,29,30,29,30,30,29,30,30,29,30,29
452,30,29,29,29,30,30,29,30,30,30,29,30
453,29,30,29,29,29,30,30,29,30,30,29,30
454,30,29,30,29,29,30,29,30,29,30,29,30
455,30,29,30,29,30,29,30,29,30,29,29,30
456,30,29,30,30,29,30,30,29,29,29,30,29
457,30,29,30,30,30,29,30,29,30,29,29,30
458,29,30,29,30,30,29,30,30,29,30,29,29
459,30,29,30,29,30,29,30,30,29,30,29,30
460,29,30,29,30,29,30,29,30,29,30,29,30
461,30,30,29,29,30,29,30,29,29,30,29,30
462,30,30,30,29,30,29,29,29,30,29,30,29
463,30,30,30,29,30,30,29,29,29,30,29,29
464,30,30,30,30,29,30,29,30,29,29,30,29
465,30,29,30,30,29,30,30,29,30,29,29,30
466,29,30,29,30,29,30,30,29,30,29,30,29
467,30,30,29,29,30,29,30,29,30,29,30,30
468,30,29,30,29,29,30,29,30,29,30,29,30
469,30,30,29,30,29,29,30,29,29,30,29,30
470,30,30,29,30,30,29,29,30,29,29,30,29
471,30,30,29,30,30,29,30,30,29,29,29,30
472,29,30,30,29,30,29,30,30,29,30,29,30
473,29,30,29,29,30,29,30,30,30,29,30,29
474,30,29,30,29,29,30,29,30,30,29,30,30
475,29,30,29,30,29,29,29,30,30,29,30,30
476,30,29,30,29,29,30,29,30,29,30,29,30
477,30,29,30,30,29,29,30,29,30,29,30,29
478,30,29,30,30,29,30,29,30,29,30,29,30
479,29,29,30,30,29,30,29,30,30,29,30,29
480,30,29,29,30,29,30,29,30,30,30,29,30
481,29,30,29,29,29,30,29,30,30,30,30,29
482,30,29,29,30,29,29,30,29,30,30,30,30
483,29,30,29,29,30,29,29,30,30,29,30,30
484,29,30,29,30,29,30,29,30,29,30,29,30
485,29,30,30,29,30,29,30,29,30,29,30,29
486,30,29,30,29,30,29,30,30,30,29,29,30
487,29,29,30,29,30,29,30,30,30,30,29,29
488,30,29,29,30,29,30,29,30,30,30,29,30
489,29,30,29,29,30,29,30,29,30,30,30,29
490,30,29,30,29,29,30,29,30,29,30,30,29
491,30,30,29,30,29,29,30,29,30,29,30,29
492,30,30,29,30,30,29,30,29,30,29,29,29
493,30,30,29,30,30,29,30,30,29,30,29,29
494,29,30,29,30,30,29,30,30,30,29,29,30
495,29,29,30,29,30,30,29,30,30,29,30,29
496,30,29,30,29,29,30,29,30,30,29,30,29
497,30,30,29,30,29,29,30,29,30,29,30,29
498,30,30,30,29,30,29,30,29,29,30,29,29
499,30,30,30,30,29,30,29,30,29,29,29,30
500,29,30,30,30,29,30,30,29,30,29,29,29
501,30,29,30,30,29,30,30,30,29,29,30,29
